"","id","titulo","descricao","publicadoEm","data","hora","aoVivo","idCanal","nomeCanal","visualizacoes","curtidas","descurtidas","favoritos","comentarios","categoryId","defaultAudioLanguage","categoria","faturamento"
"52","zFRZfUCknUg","Best Free Kicks Montage | Vol.25 | Ronaldo vs. Messi Shots | freekickerz","Best Goal Compilation - Ronaldo CR7 Knuckleball Shots - Unsere Fu<df>ballschuh-Empfehlungen: <U+27A8> No.1: http://amzn.to/2kadvQ7 <U+27A8> No.2: http://amzn.to/2jfRDi9 ...",2013-04-19 09:39:13,2013-04-19,34740,"none","UCC9h3H-sGrvqd2otknZntsQ","freekickerz",32140779,113410,7305,0,9690,17,"en","Esportes",32000
"53","Nosf1FeO-pM","BEST OF - TOP 100 SOCCER FOOTBALL FAILS 2015","Best of TOP 100 Funny Football Moments, Youtube Free Kicks, Shots, Misses, Bloopers, Fails & Mistakes <U+25CB> Best Sport Soccer Football Fails <U+25CB> Compilation ...",2015-09-13 16:00:02,2015-09-13,57600,"none","UCC9h3H-sGrvqd2otknZntsQ","freekickerz",24385260,117611,6015,0,3164,17,"en","Esportes",24000
"54","JBuI0_BYbiM","BALOTELLI vs. REUS vs. FABREGAS - evoPOWER CHALLENGE - Part 1/2","F<e0>bregas, Reus and Balotelli Battle - Launch PUMA evoPOWER Boot - Event in Barcelona with freekickerz || Challenge PART2: http://youtu.be/JBuI0_BYbiM ...",2014-01-31 15:45:02,2014-01-31,56700,"none","UCC9h3H-sGrvqd2otknZntsQ","freekickerz",23335460,156075,5889,0,5999,17,"en","Esportes",23000
"55","ooOArqxdMuA","BEST OF - TOP 100 SOCCER FOOTBALL FAILS 2015","Ultimate Funny Soccer Moments & Fails Compilation 2015 - Best of TOP 5 Funny Football Youtube Free Kicks, Shots, Fails & Mistakes in Sport Soccer Football ...",2015-04-19 18:00:00,2015-04-19,64800,"none","UCC9h3H-sGrvqd2otknZntsQ","freekickerz",20267402,101572,4322,0,4004,17,"en","Esportes",20000
"56","ao8L-0nSYzg","Addiction","What causes addiction? Easy, right? Drugs cause addiction. But maybe it is not that simple. This video is adapted from Johann Hari's New York Times ...",2015-10-29 13:05:11,2015-10-29,47100,"none","UCsXVk37bltHxD1rDPwtNM8Q","Kurzgesagt <U+0096> In a Nutshell",14403658,358183,4793,0,20766,27,"en","Educação",14000
"57","RvOnXh3NN9w","The European Refugee Crisis and Syria Explained","Why is the refugee crisis all over the news? How is this related to Syria? Why should we care at all? Donate to the United Nations Refugee Agency: ...",2015-09-17 14:51:07,2015-09-17,53460,"none","UCsXVk37bltHxD1rDPwtNM8Q","Kurzgesagt <U+0096> In a Nutshell",11568809,188025,60531,0,59149,27,"en","Educação",11000
"58","sNhhvQGsMEc","The Fermi Paradox <U+0097> Where Are All The Aliens? (1/2)","The universe is unbelievably big <U+0096> trillions of stars and even more planets. Soo<U+0085> there just has to be life out there, right? But where is it? Why don't we see any ...",2015-05-06 12:55:55,2015-05-06,46500,"none","UCsXVk37bltHxD1rDPwtNM8Q","Kurzgesagt <U+0096> In a Nutshell",9508601,198976,2355,0,18532,27,"en","Educação",9000
"59","zQGOcOUBi6s","The Immune System Explained I <U+0096> Bacteria Infection","Every second of your life you are under attack. Bacteria, viruses, spores and more living stuff wants to enter your body and use its resources for itself.",2014-07-01 16:06:05,2014-07-01,57960,"none","UCsXVk37bltHxD1rDPwtNM8Q","Kurzgesagt <U+0096> In a Nutshell",8666859,139911,1488,0,17425,27,"en","Educação",8000
"60","4_aOIA-vyBo","Three Ways to Destroy the Universe","How will the Universe die? Everybody dies. The universe too? Well, probably. What are the current theories about the end of everything? And how creepy ...",2014-02-03 16:35:03,2014-02-03,59700,"none","UCsXVk37bltHxD1rDPwtNM8Q","Kurzgesagt <U+0096> In a Nutshell",8051349,133819,2213,0,20317,27,"en","Educação",8000
"61","ogci09kq_u4","BEST OF DAYLIGHT <U+2605> Die geile Stalking-Spr<fc>hwurst-Omi!","BEST OF DAYLIGHT <U+0095> LP: http://bit.ly/DaylightHorror <U+25BB> SAHNEH<c4>UBCHEN: http://gronkh.de?p=25785 <U+25BB> TOTAL MUTIG: http://bit.ly/BesteMenschen ...",2014-05-06 16:00:08,2014-05-06,57600,"none","UCYJ61XIK64sp6ZFFS8sctxw","Gronkh",9936556,37433,666,0,3334,20,NA,"Jogos",9000
"62","jl2xNWeujZs","GTA 5 (GTA V) [HD+] #001 - Welcome to Los Santos <U+2605> Let's Play GTA 5 (GTA V)","GTA V (GTA 5) #001 <U+0095> PLAYLIST: http://bit.ly/playGTA5 <U+25BB> GROSS DIEB AUTOS frisch auf http://gronkh.de?p=20481 <U+25BB> GANG-REKRUTIERUNG: ...",2013-09-17 01:18:51,2013-09-17,4680,"none","UCYJ61XIK64sp6ZFFS8sctxw","Gronkh",6246616,41891,2303,0,7608,20,NA,"Jogos",6000
